term;explanation;source
Haus;Дом;db
Baum;Дерево;db
Hund;Собака;db
Katze;Кошка;db
Auto;Автомобиль;db
Buch;Книга;db
Tisch;Стол;db
Stuhl;Стул;db
Fenster;Окно;db
Tür;Дверь;db
Schule;Школа;db
Lehrer;Учитель;db
Schüler;Ученик;db
Essen;Еда;db
Trinken;Напиток;db
